artist,is_explicit
Eslabon Armado,False
Grupo Frontera & Bad Bunny,False
Yng Lvcas & Peso Pluma,True
FIFTY FIFTY,False
Miley Cyrus,False
David Kushner,False
SZA,False
Loreen,False
Harry Styles,False
KAROL G,True
Käärijä,False
Feid & Young Miko,True
Shakira,False
Metro Boomin,True
"Tyler, The Creator",True
ROSALÍA & Rauw Alejandro,False
The Weeknd,False
Peso Pluma & Natanael Cano,True
Rema,False
Yandel,True
Junior H & Peso Pluma,False
PinkPantheress & Ice Spice,False
Taylor Swift,False
Arctic Monkeys,False
Lil Durk & J. Cole,True
Morgan Wallen,True
David Guetta & Bebe Rexha,True
Natanael Cano & Peso Pluma & Gabito Ballesteros,True
d4vd,False
JVKE,False
Stephen Sanchez & Em Beihold,False
Jimin,False
Kali Uchis,False
Bizarrap & Shakira,False
Sam Smith,False
Tom Odell,True
The Weeknd,True
Peso Pluma,False
Alessandra,False
Ozuna,False
Libianca,False
OneRepublic,False
Manuel Turizo,False
Eminem,True
Yahritza Y Su Esencia & Grupo Frontera,False
JISOO,False
Chino Pacas,True
Coldplay,False
Fast & Furious: The Fast Saga,False
Lil Mabu,True
Bad Bunny,True
Lana Del Rey,False
Fast & Furious: The Fast Saga & Jimin & BTS,False
Post Malone,True
Eladio Carrion,True
Fuerza Regida,True
Eden Muñoz & Junior H,False
Beyoncé & Kendrick Lamar,True
ENHYPEN,False
